Name,Age,R,H,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,Pos Summary
Jeremy Hellickson,28,3,9,0,0,0,7,0,2,14,.220,.283,1
Kyle Hendricks,25,2,3,1,0,0,1,0,1,24,.050,.066,1
Cesar Hernandez#,25,57,110,20,4,1,35,19,40,86,.272,.339,6
Enrique Hernandez,23,24,62,12,2,7,22,0,11,46,.307,.346,7
Elian Herrera#,30,29,62,18,0,7,33,3,18,72,.242,.290,7
Jonathan Herrera#,30,14,29,5,1,2,14,3,2,23,.230,.242,6
Odubel Herrera*,23,64,147,30,3,8,41,16,28,129,.297,.344,7
Chris Heston,27,1,10,2,0,0,3,0,0,18,.196,.196,1
Jason Heyward*,25,79,160,33,4,13,60,23,56,90,.293,.359,7
Aaron Hill,33,32,72,18,0,6,39,7,31,54,.230,.295,5
Matt Holliday,35,24,64,16,1,4,35,2,39,49,.279,.394,7
Ryan Howard*,35,53,107,29,1,23,77,0,27,138,.229,.277,3
Tim Hudson,39,3,7,2,0,1,1,0,1,11,.184,.205,1
Nick Hundley,31,45,110,21,5,10,43,5,21,76,.301,.339,2
Raisel Iglesias,25,0,2,0,1,0,1,0,0,13,.067,.067,1
Ender Inciarte*,24,73,159,27,5,6,45,21,26,58,.303,.338,7
Jon Jay*,30,25,44,5,1,1,10,0,19,36,.210,.306,7
Chris Johnson,30,12,36,7,0,2,11,2,7,49,.235,.272,5
Kelly Johnson*,33,38,82,11,0,14,47,2,23,81,.265,.314,7
Kelly Johnson*,33,20,50,5,0,9,34,1,13,43,.275,.321,7
Kelly Johnson*,33,18,32,6,0,5,13,1,10,38,.250,.304,7
Taylor Jungmann,25,2,10,2,0,0,0,0,1,12,.270,.289,1
Jung Ho Kang,28,60,121,24,2,15,58,5,28,99,.287,.355,6
Matt Kemp,30,80,158,31,3,23,100,12,39,147,.265,.312,7
Howie Kendrick,31,64,137,22,2,9,54,6,27,82,.295,.336,4
Kyle Kendrick,30,6,8,2,0,1,2,0,3,16,.186,.239,1
Ian Kennedy,30,3,4,3,0,0,0,0,0,23,.095,.095,1
Clayton Kershaw*,27,2,9,2,0,0,2,0,2,23,.127,.162,1
Tom Koehler,29,2,6,1,0,0,1,0,2,28,.120,.154,1
John Lackey,36,0,7,2,0,0,3,0,4,24,.113,.167,1
Juan Lagares,26,47,114,16,5,6,41,7,16,87,.259,.289,7
Jake Lamb*,24,38,92,15,5,6,34,3,36,97,.263,.331,5
